State	County	Upcoming elections	Recommended Candidate	Candidate (I)	Candidate (I): Image link	Candidate (I): Website	Candidate (C)	Candidate (C): Image link	Candidate (C): Website	Candidate (C2)	Candidate (C2): Image link	Candidate (C2): Website	Candidate (C3)	Candidate (C3): Image link	Candidate (C3): Website	Candidate (C4)	Candidate (C4): Image link	Candidate (C4): Website	Candidate (C5)	Candidate (C5): Image link	Candidate (C5): Website	Candidate (C6)	Candidate (C6): Image link	Candidate (C6): Website	Candidate (C7)	Candidate (C7): Image link	Candidate (C7): Website	Candidate (C8)	Candidate (C8): Image link	Candidate (C8): Website	Candidate (C9)	Candidate (C9): Image link	Candidate (C9): Website	Candidate (C10)	Candidate (C10): Image link	Candidate (C10): Website
Colorado	El Paso, Teller	District Attorney		open seat			Michael Allen	https://images.squarespace-cdn.com/content/v1/5cb8b7867046802ab462da5e/1556732676049-3JRT8IK3XA3IFLWZ9KTO/ke17ZwdGBToddI8pDm48kJP0xC8sR80q_VB89cUVMApZw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZamWLI2zvYWH8K3-s_4yszcp2ryTI0HqTOaaUohrI8PIELupFqnSnTMpNap22CLZNPzA8rO6AwtfLUg6dPNXwO8/Michael_4.png?format=750w	https://www.michaelallen4da.com/	Mark Waller	https://img1.wsimg.com/isteam/ip/467e8faf-1ddd-4a47-b571-0b02a1f0faab/Waller%20State%20House.jpg/:/cr=t:20.34%25,l:2.33%25,w:89.29%25,h:59.52%25/rs=w:730,h:730,cg:true,m	https://electmarkwaller.com/																								
Colorado	Clear Creek, Eagle, Lake, Summit	District Attorney					Braden Christopher Angel	https://images.squarespace-cdn.com/content/v1/5e1412284f42b515182e0d7b/1579675154095-BM7UWNQNBINKIDCFC0WL/ke17ZwdGBToddI8pDm48kEPqoMFOhzA3q4A3VFGcFLt7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0k5fwC0WRNFJBIXiBeNI5fI1iYD9xHJo2JLxv6AwumxWIst0C1lSCh1N30TSGvFFpQ/Braden+Crossed.jpg	https://www.angelfordistrictattorney.com/my-story	Heidi McCollum	https://images.squarespace-cdn.com/content/v1/5d5eba2037e3a90001d0ab74/1572037102555-8F886KNKF2KGRP6PRMHV/ke17ZwdGBToddI8pDm48kMUjWsHWy-dbgUBZWTS0YVh7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QHyNOqBUUEtDDsRWrJLTmb-fA82zaRhWGg5BmJUXFJuK8kjCSPzFgvdY5ONFvxdlTIkqFNoGG2shniGfxvxeT/28_McCollum-T.jp	https://heidiforda.com/																								
Colorado	La Plata, Archuleta, San Juan	District Attorney		Christian Champagne	http://www.co.laplata.co.us/contact/Christian_Champagne.jpg	http://www.co.laplata.co.us/departments/district_attorney_s_office/index.php																														
Colorado	Delta, Gunnison, Hinsdale, Montrose, Ouray, San Miguel	District Attorney		open seat			Seth Ryan	https://img1.wsimg.com/isteam/ip/4397556b-bebb-45ae-bfcc-04647ee46bec/Seth%20Ryan.jpg/:/cr=t:0%25,l:0%25,w:100%25,h:100%25/rs=w:800,cg:true	https://electsethryan.com/																											
Colorado	Jackson, Larimer	District Attorney		open seat			Gordon McLaughlin	https://images.squarespace-cdn.com/content/v1/5daa85e3affdb32b2414e8cb/1576365281913-9Y03U42WE69RO8EI1O9V/ke17ZwdGBToddI8pDm48kNiEM88mrzHRsd1mQ3bxVct7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0s0XaMNjCqAzRibjnE_wBlkZ2axuMlPfqFLWy-3Tjp4nKScCHg1XF4aLsQJlo6oYbA/GM_040.jpg?format=1500w	https://www.mclaughlinforda.com/about	Mitch Murray	http://votemitchmurrayda.com/Images/Default_Center.png	http://votemitchmurrayda.com/																								
Colorado	Garfield, Rio Blanco, Pitkin	District Attorney		Jefferson Cheney	http://www.9daco.org/images/JeffersonJCheney.jpg	http://www.9daco.org/meet-da.html																														
Colorado	Pueblo	District Attorney		John Chostner	https://county.pueblo.org/sites/default/files/styles/commissioner_profile/public/elected-official-photos/Chostner-2013-full.jpg?itok=17QXintJ	https://county.pueblo.org/district-attorney/jeff-chostner																														
Colorado	Chaffee, Park, Fremont, Custer	District Attorney		Kaitlin Turner	https://images.squarespace-cdn.com/content/v1/5e2f276ab63da24c31750686/1581118206056-HNQ8OLCR7TLP5SIGUA1R/ke17ZwdGBToddI8pDm48kN_ZoNdj1kv_gIvm4zjH76N7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0jG2lbcDYBOeMi4OFSYem8AelHsSihC3tfiYK1eHEM7W3AVjJQSBul2wE-DqW7dygg/IMG_6415+%281%29.JPG	https://www.turnerforda.com/	Linda Stanley	https://static.wixstatic.com/media/3ebcff_ad461b2501c342e6910b183704bba655~mv2.jpeg/v1/fill/w_348,h_428,al_c,q_80,usm_0.66_1.00_0.01/image0%20(1).webp	https://www.stanleyforda.com/	Thom LeDoux	https://scontent-sjc3-1.xx.fbcdn.net/v/t1.0-0/c0.35.200.200a/p200x200/392760_152978974805664_993564699_n.jpg?_nc_cat=104&_nc_sid=09cbfe&_nc_ohc=WEgJY4zrKYkAX_pvdri&_nc_ht=scontent-sjc3-1.xx&oh=3105bb16d49c9c7643df7f037c615136&oe=5EFFE360	https://www.facebook.com/pages/category/Community/Thom-LeDoux-for-DA-152978571472371/																								
Colorado	Alamosa, Saguache, Mineral, Rio Grande, Conejos, Costilla	District Attorney		Robert Willett	https://img1.wsimg.com/isteam/ip/c7d9f1df-9a2b-4162-b6e1-8b7c9f5eb403/Bob%20in%20front%20of%20flag%20and%20seal.jpg/:/cr=t:0%25,l:0%25,w:100%25,h:100%25/rs=w:800,cg:true	https://coloradodistrictattorney.org/	Alonzo Christopher Payne	https://www.denverpost.com/wp-content/uploads/2016/06/house-alonzo-payne.jpg	https://alonzoforcolorado.com/																											
Colorado	Morgan, Logan, Sedgwick, Phillips, Washington, Yuma, Kit Carson	District Attorney					Travis Sides	https://scontent-sjc3-1.xx.fbcdn.net/v/t1.0-9/p960x960/86635917_104769461113545_3348543365103747072_o.jpg?_nc_cat=106&_nc_sid=85a577&_nc_ohc=LT2WWO-D-jkAX97h9zN&_nc_ht=scontent-sjc3-1.xx&_nc_tp=6&oh=c55178975f48794f42d165c2852f789d&oe=5EFD3852	https://www.facebook.com/pages/category/Political-Candidate/Travis-Sides-for-District-Attorney-104755087781649/																											
Colorado	Grand, Routt, Moffat	District Attorney		Matt Karzen	https://14thjudicialda.colorado.gov/sites/14thjudicialda/files/styles/extra_large_thumbnail_650x650_/public/Matt%20Karzen.PNG	https://14thjudicialda.colorado.gov/																														
Colorado	Baca, Cheyenne, Kiowa, Prowers	District Attorney		Joshua Vogel	https://i0.wp.com/theprowersjournal.com/wp-content/uploads/2016/04/Joshua-Vogel.jpg?zoom=2&fit=150%2C150&ssl=1	https://www.prowerscounty.net/government/district_attorney/index.php																														
Colorado	Bent, Crowley, Otero	District Attorney		open seat			Rodney Fouracre	https://www.ourcampaigns.com/images/candidates/b475/C475656D2020-01-01.jpg		William Culver																										
Colorado	Adams	District Attorney		open seat			Brian Mason	https://static.wixstatic.com/media/b0031b_7bcc2d536c304059bdca2c886bf85ac1~mv2.png/v1/crop/x_36,y_0,w_705,h_1085/fill/w_213,h_328,al_c,usm_0.66_1.00_0.01,blur_2/Screen%20Shot%202019-06-20%20at%204_38_16%20PM.png	https://www.brianmason.us/	Tim McCormack	http://mccormackforda.com/wp-content/uploads/2019/04/tim_eagleHS_w400.jpg	https://mccormackforda.com/																								
Colorado	Arapahoe, Douglas, Elbert, Lincoln	District Attorney		open seat			Amy Padden	https://images.squarespace-cdn.com/content/v1/5d064a17e62d0e00018ff7f2/1563243691893-OH2Y6ZY8N392RV4THDKB/ke17ZwdGBToddI8pDm48kGPVK--wGoWXJsqwlxbZlQN7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0mwONMR1ELp49Lyc52iWr5enfxu_O4VeONvneR-F6W8oeFhFqSrYyNrfPB9Y70_gvQ/DSC_0292.JPG	https://www.amypadden.com/	Matt Maillaro	https://www.mattmaillaro.com/wp-content/uploads/2019/06/matt.jpg	https://www.mattmaillaro.com/	John Kellner	https://static.wixstatic.com/media/2c3fd2_e2eef1c7332241bbb84e450fd3ddf3c3~mv2_d_2080_2600_s_2.jpg	https://www.johnkellner.com/																					
Colorado	Weld	District Attorney		Michael Rourke	https://www.weldda.com/UserFiles/Servers/Server_22992/Image/DA/News_Images/MR%20Headshot%202.jpg	https://www.weldda.com/district_attorney/meet_the_district_attorney																														
Colorado	Boulder	District Attorney		Michael Dougherty	https://assets.bouldercounty.org/wp-content/uploads/2018/07/Michael-Dougherty-e1532025731974.jpg	michaelforboulderda.com																														
Colorado	Mesa	District Attorney		Daniel Paul Rubinstein	https://da.mesacounty.us/siteassets/daniel-p-rubinstein.jpg	https://da.mesacounty.us/																														
Colorado	Dolores, Montezuma	District Attorney		open seat			Matthew Gregory Margeson	https://dur-cjweb.newscyclecloud.com/storyimage/CJ/20191011/NEWS01/191019948/AR/0/AR-191019948.jpg?ts=1570858055&maxw=1290																												
Florida	Escambia, Okaloosa, Santa Rosa Walton	State Attorney		open seat			Ginger Bowden Madden	https://www.gannett-cdn.com/presto/2020/02/07/PPEN/0bacdd8e-5e8d-4915-bf77-78ff519c2e92-EP-180328305.jpg?width=180&height=240&fit=bounds&auto=webp	https://www.facebook.com/maddenforosa1/																											
Florida	Franklin, Gadsden, Jefferson, Leon, Liberty, Wakulla	State Attorney		Jack Campbell	https://www.sao2fl.org/portals/27/images/jack_profile_sm.jpg	https://www.sao2fl.org/About/Jack-Campbell																														
Florida	Columbia, Dixie, Hamilton, Lafayette, Madison, Suwannee, Taylor	State Attorney					John Durrett	https://scontent-sjc3-1.xx.fbcdn.net/v/t1.0-9/83561294_112063557001702_1017265173016084480_o.jpg?_nc_cat=110&_nc_sid=7aed08&_nc_ohc=ywHx9DGXVb8AX-ViA80&_nc_ht=scontent-sjc3-1.xx&oh=ea9a655482a1b593b264b4d8ede5e322&oe=5EFFB085	https://stateattorney2020.com/	Tina Seifert	https://scontent-sjc3-1.xx.fbcdn.net/v/t1.0-9/83055618_102974064595383_8975089611084660736_n.png?_nc_cat=103&_nc_sid=7aed08&_nc_ohc=408X7SfpvzUAX-UztZ5&_nc_ht=scontent-sjc3-1.xx&oh=da27c12af98ec2c687d5189050798ed9&oe=5EFFBE21	https://www.tinaseifert.com/																								
Florida	Clay, Duval, Nassau	State Attorney		Melissa Nelson	https://secureservercdn.net/198.71.233.254/9c2.a8b.myftpupload.com/wp-content/uploads/2019/05/IMG_5654-11-683x1024.jpg	https://www.sao4th.com/about/meet-mrs-nelson-and-her-team/#:~:text=State%20Attorney,in%20their%20pursuit%20of%20justice.																														
Florida	Citrus, Hernando, Lake, Marion, Sumter	State Attorney					William Gladson																													
Florida	Pasco, Pinellas	State Attorney		Bernie McCabe	https://www.jwbpinellas.org/wp-content/uploads/2017/11/McCabe.jpg	http://www.sao6.org/																														
Florida	Flagler, Putnam, St. Johns, Volusia	State Attorney		R.J. Larizza	https://www.sao7.com/zupload/site-options/R-J--Larizza-Photo-cropped11.jpg	https://www.sao7.com/aboutus/index#:~:text=LARIZZA,with%20a%20minor%20in%20English.	Don Dempsey		http://www.donalddempsey.com/#:~:text=At%20the%20law%20office%20of,of%20criminal%20law%20and%20procedure.																											
Florida	Alachua, Baker, Bradford, Gilchrist, Levy, Union	State Attorney					Brian Kramer	https://3o15h033zmpwracwx2i00rqx-wpengine.netdna-ssl.com/wp-content/uploads/2020/01/Brian-Kramer-1376x1032.jpg	https://electkramer.com/	Bevery McCallum	https://www.beverlymccallum.com/UserFiles/image/26_-_171006-McCallum-069-Retouch-cropA.jpg	https://www.beverlymccallum.com/																								
